Red Fighter,Blue Fighter,Predicted Result,Probability
Raphael Assuncao,Davey Grant,win,0.5200442824441379
Mario Bautista,Guido Cannetti,win,0.6937234975465957
Said Nurmagomedov,Jonathan Martinez,loss,0.550163136936536
Nikita Krylov,Ryan Spann,win,0.5835806751578279
Alexander Volkov,Alexandr Romanov,loss,0.5222443799345181
Petr Yan,Merab Dvalishvili,loss,0.5845262943348989
Jai Herbert,Ludovit Klein,loss,0.5749317035451579
Jake Hadley,Malcolm Gordon,win,0.534921054926252
Jack Shore,Makwan Amirkhani,win,0.7734323824821789
Marvin Vettori,Roman Dolidze,win,0.6189152283033629
Gunnar Nelson,Bryan Barberena,win,0.5849746900844705
Justin Gaethje,Rafael Fiziev,win,0.6092159191765832
Leon Edwards,Kamaru Usman,win,0.4965958900638328
CJ Vergara,Daniel Lacerda,win,0.5404364899004714
Trevin Giles,Preston Parsons,win,0.4984138635554771
Daniel Pineda,Tucker Lutz,win,0.5023360355537526
Chidi Njokuani,Albert Duraev,win,0.4859445057304697
Nate Landwehr,Austin Lingo,win,0.5402051142120814
Marlon Vera,Cory Sandhagen,win,0.5237156729841316
Shayilan Nuerdanbieke,Steve Garcia,loss,0.5422196908268617
Ignacio Bahamondes,Trey Ogden,win,0.6289713776863447
Chris Curtis,Kelvin Gastelum,win,0.539449003718159
Kevin Holland,Santiago Ponzinibbio,win,0.5519338326648306
Rob Font,Adrian Yanez,win,0.513526903343483
Gilbert Burns,Jorge Masvidal,win,0.74278894666151
Alex Pereira,Israel Adesanya,loss,0.5218263260944656
Zak Cummings,Ed Herman,win,0.6867559365495706
Brandon Royval,Matheus Nicolau,loss,0.6656979310609998
Bill Algeo,TJ Brown,win,0.5642791772837302
Clay Guida,Rafa Garcia,loss,0.7246300660308723
Pedro Munhoz,Chris Gutierrez,loss,0.6604346324984053
Tanner Boser,Ion Cutelaba,win,0.6956217529915865
Dustin Jacoby,Azamat Murzakanov,loss,0.5075519849677086
Edson Barboza,Billy Quarantillo,loss,0.6702450301375875
Max Holloway,Arnold Allen,win,0.6729623090281956
Brady Hiestand,Batgerel Danaa,loss,0.5121028641362573
Rani Yahya,Montel Jackson,loss,0.6174509072463762
Ricky Glenn,Christos Giagos,win,0.5347523218379399
