Red Fighter,Blue Fighter,Predicted Result,Probability,Actual Result
Brandon Moreno,Deiveson Figueiredo,win,0.5879481504588137,loss
Francis Ngannou,Ciryl Gane,loss,0.7687437209127139,win
Jason Witt,Phil Rowe,win,0.7649798908128517,loss
Hakeem Dawodu,Michael Trizano,loss,0.6984916001760985,win
Miles Johns,John Castaneda,win,0.7644551304968337,loss
Julian Erosa,Steven Peterson,win,0.513305487409578,win
Sam Alvey,Brendan Allen,loss,0.7368762076307692,loss
Shavkat Rakhmonov,Carlston Harris,win,0.5545780003199337,win
Jack Hermansson,Sean Strickland,loss,0.5185985254831121,loss
William Knight,Maxim Grishin,win,0.6199116127343982,loss
Douglas Silva de Andrade,Sergey Morozov,loss,0.6038657413153442,win
Andrei Arlovski,Jared Vanderaa,win,0.7140325154417193,win
Bobby Green,Nasrat Haqparast,win,0.7637955454616399,win
Alexander Hernandez,Renato Moicano,win,0.6358693303807041,loss
Jared Cannonier,Derek Brunson,loss,0.5779713317800236,win
Derrick Lewis,Tai Tuivasa,loss,0.5330825443930464,loss
Israel Adesanya,Robert Whittaker,win,0.6350125300023287,win
Joaquin Buckley,Abdul Razak Alhassan,win,0.8844187818551914,win
Parker Porter,Alan Baudot,win,0.8274102966341694,win
Kyle Daukaus,Jamie Pickett,win,0.7198332747907377,win
Johnny Walker,Jamahal Hill,win,0.6432144256681294,loss
Alejandro Perez,Jonathan Martinez,loss,0.5623505415943953,loss
Rongzhu,Ignacio Bahamondes,loss,0.5679007821509544,loss
Arman Tsarukyan,Joel Alvarez,win,0.6180218875033079,win
Misha Cirkunov,Wellington Turman,win,0.7446974061133215,loss
Islam Makhachev,Bobby Green,win,0.914436282948236,win
Dustin Jacoby,Michal Oleksiejczuk,win,0.6148010974352659,win
Devonte Smith,Ludovit Klein,win,0.6424671454297501,loss
Tim Elliott,Tagir Ulanbekov,win,0.6278565843045951,win
Nicolae Negumereanu,Kennedy Nzechukwu,loss,0.6477947862577722,win
Jalin Turner,Jamie Mullarkey,win,0.7697928890747889,win
Serghei Spivac,Greg Hardy,win,0.6019388955205592,win
Kevin Holland,Alex Oliveira,win,0.735028090642103,win
Edson Barboza,Bryce Mitchell,loss,0.8381982976489626,loss
Rafael Dos Anjos,Renato Moicano,loss,0.5917502275798343,win
Colby Covington,Jorge Masvidal,win,0.9192250714611905,win
Drew Dober,Terrance McKinney,loss,0.6516454199095177,win
Khalil Rountree Jr.,Karl Roberson,loss,0.505628651159709,win
Sodiq Yusuff,Alex Caceres,win,0.687920502985934,win
Marlon Moraes,Song Yadong,win,0.7230104619882167,loss
Thiago Santos,Magomed Ankalaev,loss,0.6309042519337702,loss
Jack Shore,Timur Valiev,win,0.7905832428034747,win
Nikita Krylov,Paul Craig,win,0.6909128746565552,loss
Shamil Abdurakhimov,Sergei Pavlovich,loss,0.6716604739833801,loss
Mike Grundy,Makwan Amirkhani,win,0.6853676264512346,loss
Jai Herbert,Ilia Topuria,loss,0.6877110804794493,loss
Gunnar Nelson,Takashi Sato,win,0.8242359800820064,win
Arnold Allen,Dan Hooker,win,0.7117756936269927,win
Alexander Volkov,Tom Aspinall,loss,0.6795139065556826,loss
Matheus Nicolau,David Dvorak,win,0.6544300622041027,win
Chris Gutierrez,Batgerel Danaa,win,0.7455960766962589,win
Neil Magny,Max Griffin,win,0.6418459814721478,win
Askar Askarov,Kai Kara-France,win,0.7015372866851615,loss
Matt Brown,Bryan Barberena,loss,0.671439756979566,loss
Curtis Blaydes,Chris Daukaus,win,0.6664056140044726,win
Aleksei Oleinik,Jared Vanderaa,win,0.5527977075621522,win
Vinc Pichel,Mark Madsen,loss,0.6279613722957573,loss
Gilbert Burns,Khamzat Chimaev,loss,0.730316058389804,loss
Aljamain Sterling,Petr Yan,win,0.5267442035760063,win
Alexander Volkanovski,Chan Sung Jung,win,0.8419039377273414,win
Alatengheili,Kevin Croom,win,0.523286623754854,win
Rafa Garcia,Jesse Ronson,win,0.6676944950732016,win
Devin Clark,William Knight,win,0.7847672020753897,win
Vicente Luque,Belal Muhammad,win,0.6484132456830877,loss
Marcin Prachnio,Philipe Lins,win,0.7343339788429242,loss
Tyson Pedro,Ike Villanueva,win,0.5180455522117662,win
Dwight Grant,Sergey Khandozhko,loss,0.5231039925342192,loss
Jordan Wright,Marc-Andre Barriault,loss,0.583309561202249,loss
Lando Vannata,Charles Jourdain,loss,0.7000551766125226,loss
Clay Guida,Claudio Puelles,loss,0.8232554346485706,loss
Alexandr Romanov,Chase Sherman,win,0.9034095413737402,win
Krzysztof Jotko,Gerald Meerschaert,win,0.5488991407489714,win
